,a,b
551,4.852227877,-3.54E-08
552,12.32482533,4.70E-08
553,8.396411407,-1.11E-09
554,6.045278892,-1.64E-08
555,5.930959864,-3.24E-08
556,6.891762908,-8.68E-09
557,9.257835001,9.07E-10
558,8.312671032,-1.27E-08
559,8.210481918,-9.88E-09
560,6.257187263,-1.72E-08
561,5.239775507,-2.17E-08
562,7.955963086,1.90E-08
563,6.036439732,-2.22E-08
564,5.624859937,-2.00E-08
565,6.690549794,-1.65E-08
566,3.913590412,-3.92E-08
567,5.424830469,-2.92E-08
568,7.36128208,-1.24E-08
569,7.871337983,-5.79E-09
570,8.551510715,1.69E-08
571,3.686986753,-5.31E-08
572,4.692905161,-3.95E-08
573,5.431934425,-2.15E-08
574,7.877547651,-2.89E-09
575,7.128542299,7.85E-09
576,7.084718868,-1.69E-08
577,8.75639616,1.06E-08
578,5.363389435,-2.79E-08
579,7.162743819,-9.81E-09
580,6.509404091,-4.21E-09
581,9.920034462,-3.39E-09
582,5.284017626,-1.74E-08
583,10.49080292,1.49E-08
584,4.5677291,-3.14E-08
585,4.607781026,-3.10E-08
586,6.552190556,1.09E-09
587,11.71714921,1.29E-08
588,8.690269007,-4.00E-09
589,14.84018836,6.95E-08
590,9.716631853,1.49E-08
591,4.760629517,-3.05E-08
592,9.25961926,1.48E-08
593,12.20227684,2.13E-08
594,5.200809384,-1.30E-08
595,3.437267914,-6.15E-08
596,7.437539175,-9.62E-09
597,5.744998713,-2.89E-08
598,6.90774039,-1.16E-08
599,5.759335031,-8.21E-09
600,10.56350104,1.92E-08
601,7.803067105,-8.34E-09
602,5.53729852,-3.19E-08
603,10.26572337,2.45E-08
604,9.126161777,1.97E-08
605,10.0317058,1.31E-08
606,6.674050324,-6.92E-09
607,8.160178322,8.71E-09
608,5.481666879,-2.15E-08
609,7.570168372,8.33E-09
610,5.106400459,-2.56E-08
611,7.023182731,-7.78E-09
612,9.780256668,1.88E-08
613,10.19983712,2.61E-08
614,6.228087624,-2.04E-08
615,9.977516759,3.67E-08
616,8.271144516,6.72E-09
617,8.035115484,-2.43E-09
618,7.492569872,1.85E-09
619,10.38521976,1.03E-08
620,6.223875191,-2.43E-08
621,11.88094933,4.97E-08
622,6.478784532,-1.25E-08
623,6.836612822,-1.23E-08
624,7.953465233,-5.65E-09
625,7.574174993,-1.52E-09
626,3.613484783,-4.75E-08
627,3.78321838,-5.08E-08
628,6.400918925,4.96E-09
629,4.022090012,-3.85E-08
630,5.266230243,-7.45E-09
631,9.293604897,1.84E-08
632,6.955784488,-2.13E-08
633,2.903515594,-6.73E-08
634,7.944988019,-2.14E-09
635,3.57442499,-5.21E-08
636,4.259709502,-3.90E-08
637,8.640553467,-6.13E-09
638,6.089961479,-1.40E-08
639,6.744718657,-1.92E-08
640,10.83118607,2.04E-08
641,6.680935616,-6.71E-09
642,4.475506204,-4.33E-08
643,5.988391522,-2.38E-08
644,4.76936854,-4.02E-08
645,7.964665367,-4.01E-09
646,9.39593151,2.83E-08
647,4.347041962,-3.15E-08
648,10.18192943,1.42E-08
649,6.119110119,-2.72E-08
650,8.305462178,-4.23E-09
651,6.220514104,-1.62E-08
652,5.838862198,-1.44E-08
653,4.76744053,-3.14E-08
654,13.79222675,5.10E-08
655,10.20163153,7.83E-09
656,6.745628643,-2.12E-08
657,7.276457491,-1.15E-08
658,9.708092546,6.24E-09
659,3.412101817,-4.63E-08
660,6.639909151,-6.31E-09
661,11.21226882,1.89E-08
662,7.309286656,2.80E-09
663,7.517413639,1.23E-08
664,3.715327971,-3.89E-08
665,5.947434417,-1.08E-08
666,11.74863156,3.40E-08
667,8.596682525,2.95E-09
668,9.479390292,4.43E-08
669,8.603270356,7.64E-09
670,3.686853611,-5.35E-08
671,4.725182429,-3.55E-08
672,10.27935517,4.14E-09
673,7.355013942,-2.11E-08
674,11.02049516,1.46E-08
675,4.712166512,-2.88E-08
676,5.667074746,-2.90E-08
677,6.480811215,-4.79E-09
678,8.970298129,1.07E-08
